time,thscode,chg_factor
2023-03-30,603733.SH,0.22093474006339991
2023-03-30,301176.SZ,1.0
2023-03-30,301256.SZ,1.0
2023-03-30,000922.SZ,0.6347443502397677
2023-03-30,300634.SZ,1.0
2023-03-30,600673.SH,0.5265791587956911
2023-03-30,000096.SZ,0.45949014775432667
2023-03-30,600306.SH,
2023-03-30,600651.SH,0.82434909010952
2023-03-30,002577.SZ,1.0
2023-03-30,002972.SZ,1.0
2023-03-30,601010.SH,0.7052356239177489
2023-03-30,001208.SZ,1.0
2023-03-30,300300.SZ,0.8410688342926201
2023-03-30,603090.SH,0.4968130000000058
2023-03-30,688376.SH,1.0
2023-03-30,688390.SH,1.0
2023-03-30,688087.SH,1.0
2023-03-30,600765.SH,0.6281073076436899
2023-03-30,000826.SZ,0.758656852960951
2023-03-30,603611.SH,0.7283989398885352
2023-03-30,000766.SZ,1.0
2023-03-30,688660.SH,1.0
2023-03-30,600103.SH,0.7192834559456681
2023-03-30,002204.SZ,0.37822336574392224
2023-03-30,839273.BJ,1.0
2023-03-30,300982.SZ,1.0
2023-03-30,300674.SZ,1.0
2023-03-30,000565.SZ,0.5945292053441348
2023-03-30,688360.SH,1.0
2023-03-30,688480.SH,1.0
2023-03-30,002966.SZ,0.9068350593908094
2023-03-30,300001.SZ,0.6725799057289525
2023-03-30,600352.SH,0.7737779108707473
2023-03-30,603102.SH,1.0
2023-03-30,600846.SH,0.7662278401283624
2023-03-30,688092.SH,1.0
2023-03-30,002033.SZ,0.700063995574758
2023-03-30,600558.SH,0.6662736332799324
2023-03-30,603088.SH,1.0
2023-03-30,000889.SZ,1.0
2023-03-30,603585.SH,0.600004262176807
2023-03-30,688981.SH,1.0
2023-03-30,600396.SH,0.6150505379238657
2023-03-30,600988.SH,0.8855644612342123
2023-03-30,000029.SZ,0.2949753672924653
2023-03-30,002662.SZ,1.0
2023-03-30,002362.SZ,0.852369088627038
2023-03-30,688301.SH,1.0
2023-03-30,000543.SZ,0.4325951086638318
2023-03-30,601311.SH,0.6208866575306046
2023-03-30,603689.SH,0.5209965847934477
2023-03-30,688039.SH,0.6140739947582393
2023-03-30,000782.SZ,0.7216813175935811
2023-03-30,300985.SZ,1.0
2023-03-30,605388.SH,1.0
2023-03-30,300725.SZ,1.0
2023-03-30,002727.SZ,1.0
2023-03-30,603211.SH,1.0
2023-03-30,603685.SH,1.0
2023-03-30,600094.SH,0.8965180666245056
2023-03-30,600609.SH,0.777638278040533
2023-03-30,300365.SZ,1.0
2023-03-30,002691.SZ,0.6655881137880559
2023-03-30,600785.SH,0.5787853794030778
2023-03-30,002037.SZ,0.5550426401544613
2023-03-30,301087.SZ,1.0
2023-03-30,601966.SH,0.4630093448718994
2023-03-30,300591.SZ,0.9602526295609295
2023-03-30,000902.SZ,0.5133956959426269
2023-03-30,600888.SH,0.6459913222196854
2023-03-30,603036.SH,0.8540345992308087
2023-03-30,603916.SH,0.5002245943945212
2023-03-30,300330.SZ,
2023-03-30,002668.SZ,1.0
2023-03-30,688215.SH,1.0
2023-03-30,301302.SZ,1.0
2023-03-30,600405.SH,0.8876895491664721
2023-03-30,603839.SH,1.0
2023-03-30,300167.SZ,0.9678270493715011
2023-03-30,002294.SZ,0.40983035104682675
2023-03-30,832089.BJ,0.8339221210082856
2023-03-30,000589.SZ,0.713956428739727
2023-03-30,603986.SH,0.8933897804352825
2023-03-30,000925.SZ,0.9497988694608612
2023-03-30,002390.SZ,1.0
2023-03-30,600826.SH,0.4714534202405515
2023-03-30,000680.SZ,0.8291202377929087
2023-03-30,300139.SZ,0.943574993935951
2023-03-30,430685.BJ,1.0
2023-03-30,603383.SH,1.0
2023-03-30,873169.BJ,1.0
2023-03-30,603887.SH,0.8212964877017477
2023-03-30,000973.SZ,0.7325196190206966
2023-03-30,002137.SZ,0.8604634242126522
2023-03-30,300505.SZ,0.890327193895203
2023-03-30,002997.SZ,1.0
2023-03-30,003018.SZ,1.0
2023-03-30,002788.SZ,0.6243946550461905
2023-03-30,300862.SZ,1.0
2023-03-30,605228.SH,1.0
2023-03-30,300026.SZ,1.0
2023-03-30,000055.SZ,0.8215495474652291
2023-03-30,002787.SZ,0.7449337023689713
2023-03-30,600360.SH,0.7768117212411212
2023-03-30,600480.SH,0.5891837134795249
2023-03-30,000558.SZ,1.0
2023-03-30,300545.SZ,0.8043657448227262
2023-03-30,603236.SH,1.0
2023-03-30,300305.SZ,0.9266824283241001
2023-03-30,000301.SZ,0.4357744710295901
2023-03-30,600230.SH,0.5375472138825351
2023-03-30,002203.SZ,0.6683682471206132
2023-03-30,600059.SH,0.6329034039143211
2023-03-30,603520.SH,0.5904652223760685
2023-03-30,002397.SZ,0.8572849374162635
2023-03-30,300307.SZ,0.6604439214342742
2023-03-30,600868.SH,0.9286145629690861
2023-03-30,603858.SH,0.4813042656234979
2023-03-30,605183.SH,1.0
2023-03-30,300364.SZ,0.9616520976576426
2023-03-30,300620.SZ,0.7049076615298517
2023-03-30,002314.SZ,0.6384625215388883
2023-03-30,300840.SZ,1.0
2023-03-30,000403.SZ,0.7897119525066973
2023-03-30,835184.BJ,0.876978196962606
2023-03-30,000070.SZ,0.6096818129769395
2023-03-30,688091.SH,1.0
2023-03-30,002009.SZ,0.7081145585155547
2023-03-30,688661.SH,1.0
2023-03-30,002302.SZ,0.38698776124266887
2023-03-30,300705.SZ,1.0
2023-03-30,300861.SZ,1.0
2023-03-30,600583.SH,0.44981912286252773
2023-03-30,836149.BJ,0.8383131793311142
2023-03-30,300572.SZ,0.9198085115699479
2023-03-30,000868.SZ,0.7480482530049746
2023-03-30,603701.SH,1.0
2023-03-30,605588.SH,1.0
2023-03-30,688558.SH,1.0
2023-03-30,300623.SZ,0.6319039701543735
2023-03-30,301097.SZ,1.0
2023-03-30,688388.SH,0.7296119743273
2023-03-30,688588.SH,0.8453368526016694
2023-03-30,001212.SZ,1.0
2023-03-30,601818.SH,1.0
2023-03-30,688081.SH,1.0
2023-03-30,000908.SZ,0.970231098496452
2023-03-30,002032.SZ,0.1724591199628307
2023-03-30,603056.SH,0.2305556833333293
2023-03-30,600499.SH,1.0
2023-03-30,600936.SH,0.7216456868574621
2023-03-30,603612.SH,1.0
2023-03-30,300975.SZ,1.0
2023-03-30,688045.SH,1.0
2023-03-30,000605.SZ,0.617932161669771
2023-03-30,300103.SZ,0.9055308182970012
2023-03-30,300663.SZ,0.9192951008489891
2023-03-30,836720.BJ,1.0
2023-03-30,002184.SZ,0.8471801142251388
2023-03-30,002513.SZ,1.0
2023-03-30,002961.SZ,0.2442743473499929
2023-03-30,601138.SH,0.7493095811743059
2023-03-30,600853.SH,0.5554887622792125
2023-03-30,688707.SH,1.0
2023-03-30,000807.SZ,0.6765953023504319
2023-03-30,300581.SZ,0.43989701460674874
2023-03-30,300450.SZ,0.6578742412757617
2023-03-30,300031.SZ,0.9399269009082398
2023-03-30,300091.SZ,0.8411919105235989
2023-03-30,603162.SH,1.0
2023-03-30,300079.SZ,1.0
2023-03-30,300161.SZ,1.0
2023-03-30,600280.SH,0.42996757448198625
2023-03-30,300321.SZ,0.6580584145048358
2023-03-30,600456.SH,0.5223147189428713
2023-03-30,000622.SZ,1.0
2023-03-30,836260.BJ,1.0
2023-03-30,600579.SH,0.3727405072040431
2023-03-30,603109.SH,1.0
2023-03-30,300423.SZ,0.9418130360681957
2023-03-30,603917.SH,0.6107008482142758
2023-03-30,688090.SH,1.0
2023-03-30,605016.SH,1.0
2023-03-30,000533.SZ,0.8247925543843562
2023-03-30,300151.SZ,0.8645718884038148
2023-03-30,838262.BJ,1.0
2023-03-30,002747.SZ,0.6399248255024582
2023-03-30,603037.SH,1.0
2023-03-30,688237.SH,1.0
2023-03-30,002181.SZ,0.3261272180716017
2023-03-30,002461.SZ,0.4585109057106511
2023-03-30,002305.SZ,0.595059449299629
2023-03-30,002112.SZ,0.8495433772016547
2023-03-30,601068.SH,0.1156070268637214
2023-03-30,600338.SH,0.7531126431312876
2023-03-30,000722.SZ,1.0
2023-03-30,600176.SH,0.7302767243877085
2023-03-30,600340.SH,1.0
2023-03-30,001333.SZ,1.0
2023-03-30,301068.SZ,1.0
2023-03-30,872374.BJ,1.0
2023-03-30,300514.SZ,1.0
2023-03-30,002309.SZ,0.9836639400603824
2023-03-30,603151.SH,1.0
2023-03-30,603897.SH,0.5619202089390725
2023-03-30,003031.SZ,1.0
2023-03-30,003035.SZ,1.0
2023-03-30,300568.SZ,1.0
2023-03-30,603829.SH,1.0
2023-03-30,601633.SH,0.1659193902310409
2023-03-30,603489.SH,0.5953307328198434
2023-03-30,301056.SZ,1.0
2023-03-30,600714.SH,0.7001192842826305
2023-03-30,601995.SH,1.0
2023-03-30,301239.SZ,1.0
2023-03-30,300311.SZ,0.8908380733334555
2023-03-30,600724.SH,1.0
2023-03-30,300532.SZ,0.8306219722072327
2023-03-30,600284.SH,0.6300024807885588
2023-03-30,601838.SH,0.6926235702131636
2023-03-30,000521.SZ,0.7163105446682121
2023-03-30,300114.SZ,1.0
2023-03-30,300698.SZ,0.7503175159875439
2023-03-30,603668.SH,1.0
2023-03-30,000937.SZ,0.5208514216935688
2023-03-30,603908.SH,0.39561174089068446
2023-03-30,002156.SZ,0.7685690017591128
2023-03-30,000531.SZ,0.6041122614440421
2023-03-30,601668.SH,0.42811053470016464
2023-03-30,600292.SH,0.5625948780385646
2023-03-30,001238.SZ,1.0
2023-03-30,830946.BJ,1.0
2023-03-30,002725.SZ,1.0
2023-03-30,688159.SH,1.0
2023-03-30,603500.SH,1.0
2023-03-30,000528.SZ,1.0
2023-03-30,002026.SZ,0.6657592522640773
2023-03-30,002648.SZ,0.6117958201930388
2023-03-30,601038.SH,0.30849694734892896
2023-03-30,000629.SZ,0.47313912791828255
2023-03-30,000777.SZ,0.7275267894299524
2023-03-30,000692.SZ,0.7000959925272054
2023-03-30,000566.SZ,0.7451582571375701
2023-03-30,603052.SH,1.0
2023-03-30,603111.SH,0.8982101674883985
2023-03-30,835857.BJ,1.0
